Title,URL
"Người trẻ ngày càng lệ thuộc vào smartphone ?: Là điều tất yếu, tuy nhiên…",/nguoi-tre-ngay-cang-le-thuoc-vao-smartphone-la-dieu-tat-yeu-tuy-nhien-185230919213545295.htm
Agency Truyền thông đa phương tiện giúp doanh nghiệp bạn kết nối khách hàng tiềm năng,/agency-truyen-thong-da-phuong-tien-giup-doanh-nghiep-ban-ket-noi-khach-hang-tiem-nang-185230918101847874.htm
Không kiểm tra miệng có đúng quy định?,/khong-kiem-tra-mieng-co-dung-quy-dinh-185230917131538009.htm
Việt Nam sẽ trở thành quốc gia số,/viet-nam-se-tro-thanh-quoc-gia-so-185230825155258263.htm
Hồng Kông gọi blockchain là 'bước đột phá',/hong-kong-goi-blockchain-la-buoc-dot-pha-185230830135804512.htm
Nối nghiệp gia đình: Thu nhập khấm khá từ nghề viết liễn,/noi-nghiep-gia-dinh-thu-nhap-kham-kha-tu-nghe-viet-lien-18523082219503489.htm
'Tòa soạn số' trở thành xu thế tất yếu của các cơ quan báo chí,/toa-soan-so-tro-thanh-xu-the-tat-yeu-cua-cac-co-quan-bao-chi-185230817161508021.htm
Công nghệ số 'phủ sóng' bảo tàng,/cong-nghe-so-phu-song-bao-tang-185230815200642818.htm
Đơn vị tiên phong xây dựng phần mềm quản lý hoạt động Đoàn,/don-vi-tien-phong-xay-dung-phan-mem-quan-ly-hoat-dong-doan-185230814164951219.htm
Chuyển đổi số báo chí coi độc giả là trung tâm,/chuyen-doi-so-bao-chi-coi-doc-gia-la-trung-tam-185230811183256658.htm
Nhiều giải thưởng hấp dẫn tại Hội thi Bí thư Đoàn cơ sở giỏi toàn quốc,/nhieu-giai-thuong-hap-dan-tai-hoi-thi-bi-thu-doan-co-so-gioi-toan-quoc-185230807143518304.htm
Trường ĐH Tây Đô triển khai trường học thông minh,/truong-dh-tay-do-trien-khai-truong-hoc-thong-minh-185230719205356447.htm
BAOVIET GO ra mắt Bảo hiểm xe ô tô ứng dụng công nghệ số ,/baoviet-go-ra-mat-bao-hiem-xe-o-to-ung-dung-cong-nghe-so-185230719182401135.htm
Phát động giải thưởng 'Sản phẩm công nghệ số Make in Viet Nam' năm 2023,/phat-dong-giai-thuong-san-pham-cong-nghe-so-make-in-viet-nam-nam-2023-185230712113527806.htm
Ứng dụng công nghệ số để xây dựng nông thôn mới,/ung-dung-cong-nghe-so-de-xay-dung-nong-thon-moi-185230710120529988.htm
"Thành ""nhà thông thái"" trong tiết kiệm điện bằng những thiết bị thông minh thời đại 4.0",/thanh-nha-thong-thai-trong-tiet-kiem-dien-bang-nhung-thiet-bi-thong-minh-thoi-dai-40-185230707163210194.htm
Triển lãm Biztech Việt Nam 2023 thúc đẩy chuyển đổi số,/trien-lam-biztech-viet-nam-2023-thuc-day-chuyen-doi-so-185230707161559472.htm
Công nghệ số hóa và đám mây: Yếu tố cốt lõi cho bản sắc Techcombank,/cong-nghe-so-hoa-va-dam-may-yeu-to-cot-loi-cho-ban-sac-techcombank-18523070715114626.htm
"Trường Đại học Phenikaa mở ngành Kỹ thuật phần mềm, đáp ứng nhu cầu công nghệ số",/truong-dai-hoc-phenikaa-mo-nganh-ky-thuat-phan-mem-dap-ung-nhu-cau-cong-nghe-so-185230703172700309.htm
"Xu hướng mới trong lĩnh vực tài chính, kế toán, kiểm toán thời công nghệ số",/xu-huong-moi-trong-linh-vuc-tai-chinh-ke-toan-kiem-toan-thoi-cong-nghe-so-1852307011551563.htm
Ông Nguyễn Văn Thể: ‘Bí thư Đoàn phải là những người đi trước trong chuyển đổi số’,/ong-nguyen-van-the-bi-thu-doan-phai-la-nhung-nguoi-di-truoc-trong-chuyen-doi-so-185230628143810449.htm
"Nhà báo phải đặt lợi ích của Tổ quốc, danh dự của cá nhân lên từng trang viết",/nha-bao-phai-dat-loi-ich-cua-to-quoc-danh-du-cua-ca-nhan-len-tung-trang-viet-185230621214641975.htm
Tác nghiệp thời số hóa,/tac-nghiep-thoi-so-hoa-185230618091342985.htm
Schneider Electric cam kết phát triển năng lượng bền vững,/schneider-electric-cam-ket-phat-trien-nang-luong-ben-vung-185230620130343266.htm
Chuyển đổi số: Chính sách chưa theo kịp thực tiễn,/chuyen-doi-so-chinh-sach-chua-theo-kip-thuc-tien-185230619075806862.htm
"Tìm con đường riêng của Việt Nam để công nghiệp hóa, hiện đại hóa",/tim-con-duong-rieng-cua-viet-nam-de-cong-nghiep-hoa-hien-dai-hoa-185230615010234804.htm
"Đồng loạt triển khai 75 công trình, phần việc thanh niên",/dong-loat-trien-khai-75-cong-trinh-phan-viec-thanh-nien-185230603161241191.htm
Ứng dụng công nghệ số trong các hoạt động tình nguyện hè,/ung-dung-cong-nghe-so-trong-cac-hoat-dong-tinh-nguyen-he-185230601100226831.htm
Cấp mới tên miền gắn liền chuyển đổi số từ ngày 1.6,/cap-moi-ten-mien-gan-lien-chuyen-doi-so-tu-ngay-16-185230531125422186.htm
Meey Map: Nền tảng bản đồ tra cứu quy hoạch đạt ‘TOP Công nghiệp 4.0 Việt Nam’,/tien-phong-chuyen-doi-so-cmcn-40-meey-land-tiep-tuc-chinh-phuc-i40-awards-185230528072954926.htm
PVcomBank tiên phong ứng dụng cơ sở dữ liệu quốc gia về dân cư,/pvcombank-tien-phong-ung-dung-co-so-du-lieu-quoc-gia-ve-dan-cu-185230527121856478.htm
Giải pháp nâng cao năng lực số cho thanh niên,/giai-phap-nang-cao-nang-luc-so-cho-thanh-nien-18523052016083405.htm
Gỡ khó cho nhân lực chuyển đổi số,/go-kho-cho-nhan-luc-chuyen-doi-so-185230515111045065.htm
Doanh nghiệp tại Việt Nam thích nghi nhanh với xu hướng chuyển đổi số,/doanh-nghiep-tai-viet-nam-thich-nghi-nhanh-voi-xu-huong-chuyen-doi-so-185230515113544639.htm
Đà Nẵng chủ động giải 'bài toán' nhân lực chuyển đổi số,/da-nang-chu-dong-giai-bai-toan-nhan-luc-chuyen-doi-so-185230510075629209.htm
Nhân lực chuyển đổi số chưa đáp ứng 50% nhu cầu,/nhan-luc-chuyen-doi-so-chua-dap-ung-50-nhu-cau-185230507002734074.htm
MoMo nhận giải thưởng Top 10 Sao Khuê 2023 với Ví Trả Sau,/momo-nhan-giai-thuong-top-10-sao-khue-2023-voi-vi-tra-sau-185230505131949193.htm
Đào tạo nhân lực để chuyển đổi số hiệu quả,/dao-tao-nhan-luc-de-chuyen-doi-so-hieu-qua-185230414164956313.htm
MobiFone - 30 năm hành trình và giá trị tiên phong trong lĩnh vực công nghệ Việt,/mobifone-30-nam-hanh-trinh-va-gia-tri-tien-phong-trong-linh-vuc-cong-nghe-viet-185230412110254418.htm
EVNHANOI ứng dụng công nghệ số trong việc chăm sóc khách hàng,/evnhanoi-ung-dung-cong-nghe-so-trong-viec-cham-soc-khach-hang-185230410155245951.htm
10.000 sinh viên được tham gia mô hình giáo dục đại học số,/10000-sinh-vien-duoc-tham-gia-mo-hinh-giao-duc-dai-hoc-so-185230325164130141.htm
"Thời đại số là cơ hội, thách thức với các đoàn viên",/thoi-dai-so-la-co-hoi-thach-thuc-voi-cac-doan-vien-185230325153209722.htm
Chủ tịch UBND tỉnh Bình Định đối thoại với thanh niên,/chu-tich-ubnd-tinh-binh-dinh-doi-thoai-voi-thanh-nien-185230325123208144.htm
Chinh phục khách hàng số từ những ‘điểm chạm’ khác biệt,/chinh-phuc-khach-hang-so-tu-nhung-diem-cham-khac-biet-185230323164529907.htm
Bình Định và Viettel hợp tác chuyển đổi số,/binh-dinh-va-viettel-hop-tac-chuyen-doi-so-185230322191018737.htm
Meey Land được công nhận là doanh nghiệp KHCN với nhiều sản phẩm đột phá,/meey-land-duoc-cong-nhan-la-doanh-nghiep-khcn-voi-nhieu-san-pham-dot-pha-185230320110345296.htm
BEST Express nhận giải Rồng Vàng 2023,/best-express-nhan-giai-rong-vang-2023-185230320071902393.htm
Gofiber - Ngôi sao sáng trong ngành cho thuê hosting,/gofiber-ngoi-sao-sang-trong-nganh-cho-thue-hosting-185230316123240001.htm
Gen Z biết gì về chủ đề Tháng Thanh niên 2023?,/gen-z-biet-gi-ve-chu-de-thang-thanh-nien-2023-185230314133747737.htm
Đọc 'chiến lược 5T' dưới đây để thoát khỏi việc lướt TikTok quên cả thời gian,/doc-chien-luoc-5t-duoi-day-de-thoat-khoi-viec-luot-tiktok-quen-ca-thoi-gian-185230314085028411.htm
Thanh niên phủ sóng chuyển đổi số,/thanh-nien-phu-song-chuyen-doi-so-185230313000347632.htm
VinaPhone 5G giới thiệu trải nghiệm công nghệ cao tại Lễ hội cà phê Buôn Ma Thuột,/vinaphone-5g-gioi-thieu-trai-nghiem-cong-nghe-cao-tai-le-hoi-ca-phe-buon-ma-thuot-18523031110191977.htm
Lợi thế của nữ lãnh đạo trong dòng chảy công nghệ số,/loi-the-cua-nu-lanh-dao-trong-dong-chay-cong-nghe-so-18523030917184822.htm
Tháng Thanh niên năm 2023: 'Tuổi trẻ tiên phong chuyển đổi số',/thang-thanh-nien-nam-2023-tuoi-tre-tien-phong-chuyen-doi-so-185230224230247827.htm
Hỗ trợ doanh nghiệp công nghệ số VN vươn ra thế giới,/ho-tro-doanh-nghiep-cong-nghe-so-vn-vuon-ra-the-gioi-185230224011504099.htm
Mở chiến dịch hỗ trợ doanh nghiệp công nghệ số Việt Nam vươn ra thế giới,/mo-chien-dich-ho-tro-doanh-nghiep-cong-nghe-so-viet-nam-vuon-ra-the-gioi-185230223160355179.htm
"Trường ĐH Giao thông vận tải dành nhiều chỉ tiêu cho ngành giao thông, CNTT",/truong-dh-giao-thong-van-tai-danh-nhieu-chi-tieu-cho-nganh-giao-thong-cntt-185230216171755149.htm
Công nghệ phục vụ sứ mệnh 'vì một cuộc sống thuận ích hơn',/cong-nghe-phuc-vu-su-menh-vi-mot-cuoc-song-thuan-ich-hon-185230207163715875.htm
Chuyển đổi số đồng bộ trên các mặt công tác của Đoàn,/chuyen-doi-so-dong-bo-tren-cac-mat-cong-tac-cua-doan-1851540541.htm
Ứng dụng công nghệ số trong các dự án giao thông của Đèo Cả,/ung-dung-cong-nghe-so-trong-cac-du-an-giao-thong-cua-deo-ca-1851532642.htm
Tổng công ty Điện lực TP.HCM áp dụng công nghệ số vào hoạt động kinh doanh,/tong-cong-ty-dien-luc-tphcm-ap-dung-cong-nghe-so-vao-hoat-dong-kinh-doanh-1851532087.htm
"Tập huấn kỹ năng ứng dụng công nghệ số vào sản xuất tin, bài trên báo chí",/tap-huan-ky-nang-ung-dung-cong-nghe-so-vao-san-xuat-tin-bai-tren-bao-chi-1851530159.htm
EVNCPC có 2 sản phẩm được trao giải thưởng công nghệ số Make in Việt Nam 2022,/evncpc-co-2-san-pham-duoc-trao-giai-thuong-cong-nghe-so-make-in-viet-nam-2022-1851529897.htm
Doanh thu công nghiệp công nghệ số ước đạt hơn 148 tỉ USD dù nhiều khó khăn,/doanh-thu-cong-nghiep-cong-nghe-so-uoc-dat-hon-148-ti-usd-du-nhieu-kho-khan-1851529203.htm
Ứng dụng công nghệ để quản trị rủi ro trong vay ngang hàng,/ung-dung-cong-nghe-de-quan-tri-rui-ro-trong-vay-ngang-hang-1851528685.htm
Phát triển bền vững - ‘chìa khóa vàng’ cho doanh nghiệp hoạt động trong ngành nông nghiệp,/phat-trien-ben-vung-chia-khoa-vang-cho-doanh-nghiep-hoat-dong-trong-nganh-nong-nghiep-1851526127.htm
Người gieo trồng cảm xúc,/nguoi-gieo-trong-cam-xuc-1851523251.htm
Ra mắt Làng Blockchain thúc đẩy sự phát triển công nghệ số,/ra-mat-lang-blockchain-thuc-day-su-phat-trien-cong-nghe-so-1851519187.htm
Nhà cung cấp các giải pháp công nghệ số hiệu quả,/nha-cung-cap-cac-giai-phap-cong-nghe-so-hieu-qua-1851510051.htm
Thập kỷ chuyển mình ngoạn mục của công nghệ số,/thap-ky-chuyen-minh-ngoan-muc-cua-cong-nghe-so-1851509249.htm
Đưa bánh mì Việt Nam lên không gian ảo,/dua-banh-mi-viet-nam-len-khong-gian-ao-1851509127.htm
Tuổi trẻ Bình Định tổ chức nhiều hoạt động hưởng ứng ngày Chuyển đổi số quốc gia,/tuoi-tre-binh-dinh-to-chuc-nhieu-hoat-dong-huong-ung-ngay-chuyen-doi-so-quoc-gia-1851508064.htm
EVNHANOI: Ứng dụng công nghệ số vào công tác kinh doanh và dịch vụ khách hàng,/evnhanoi-ung-dung-cong-nghe-so-vao-cong-tac-kinh-doanh-va-dich-vu-khach-hang-1851507031.htm
